playerID,entropy,age,gender,race,education,politicalOrientation
01JTS6YPD6RY5G40K4WRD8WMTP,0.460257429598703,22,Female,Asian,Some College,Moderately Liberal
01JTS71B3YE0PC1DH5XFQ1G4X6,0.27790019762551116,44,Male,Caucasian,High School,Moderately Liberal
01JTS706D1B7MT98G3AS4XGXGA,1.6858766813919683,21,Male,Mixed-Race,High School,Slightly Conservative
01JTS723YPMA1SJWJ0VCR99JZB,0.23868451135100138,29,Male,Asian,College,Slightly Conservative
01JTS72GS6TFASVG78DE1QTB8W,0.37677436090060357,27,Female,Caucasian,Graduate Professional School,Extremely Liberal
01JTS6Z36TH1E3M89RSZA5MMFJ,1.097455974645788,45,Male,Caucasian,College,Extremely Liberal
01JTS6YSGKD8E961E8ZKZKJ4BF,1.1550351694259773,25,Female,African,College,Moderately Liberal
01JTS74MAY1BSBNTKEG1YWCNA5,0.5922012078718628,31,Female,Latin/x,College,Extremely Liberal
01JTS6ZE18EA1XGE24MH4XDNY6,0.8304836767435146,31,Female,Caucasian,College,Slightly Liberal
01JTS775VFZV8FXSFZ7DV9VMWE,0.9648376511647357,42,Male,Caucasian,Some College,Moderately Conservative
