age,gender,genderOther,race,raceOther,education,educationOther,country,politicalOrientation,experience,engagement,clearity,interference,interferenceOption,keyFactors,strategy,motivation,followUp,additionalFeedback,playerID,experienceDetails
24,Female,,African,,College,,United States of America ,Extremely Conservative,No,Very Engaging,Very Clear,,No,The consistency made it easier to choose,I weighed the success and failure and calculated the percentage.,Experience,Yes,,01JTNS9QBNYAS004J80MYRQ02G,
27,Male,,Caucasian,,College,,United States,Slightly Liberal,No,Very Engaging,Moderately Clear,,No,"Just pure math, trying to find the best percentage",Just doing math on who has the highest percentage of success ,"At first it was the monetary, but the experiment kept me very engaged.",Yes,,01JTNSB4JC26PT3D2WNAGYS6KP,
33,Female,,Caucasian,,High School,,us,Moderately Conservative,No,Very Engaging,Very Unclear,,No,The peoples qualities,I used my common sense and went with my gut,The money lol ,Yes,,01JTNSBHJQBRXRNXS699BTTYKK,
40,Male,,Asian,,College,,USA,Slightly Liberal,No,Slightly Engaging,Moderately Clear,,No,The growth of success vs the limiting of failures,Seeing how much success the hires made each round,to participate in research that leads to incentives,Yes,,01JTNS7NPXBWAM6WBJVKS07CGG,
33,Male,,Caucasian,,Some College,,US,Extremely Liberal,No,Engaging,Moderately Clear,,No,n/a,Mostly by roughly weighing the success:failure ratio.,Monetary incentive and interest in studies. ,Yes,,01JTNS7PQHWSEREKR6CK206ESW,
45,Male,,African,,College,,USA,Extremely Liberal,No,Very Engaging,Very Clear,,No,"Success was the key factor. In later stages and during the final allocation, both the total number of successes and attempts influenced decisions, balancing efficiency with productive output volume.","I assessed the success rates for each candidate or group and prioritized those with the highest figures, while also taking into account their volume of successes in later rounds and during final allocation.",Interest in research ,Yes,,01JTNS800XKB2QRWZR7D3MV6R0,
23,Male,,Asian,,Some College,,United States,Slightly Liberal,Yes,Very Engaging,Clear,,No,"The less experience they have, the more uncertainty there is.",I tried to find underrated candidates that weren't given a proper chance.,"Money, also i like these game survey experiments.",Yes,Were you expecting people to just gang up on one or two people?,01JTNS8VX6REHW16TJWE1R437P,Cant remember but it was also about hiring people.
29,Male,,African,,College,,usa,Slightly Conservative,No,Engaging,Very Clear,,No,successes,the number of successes vs the number of failures,incentive,Yes,,01JTNSB3MTD001M2CV90W3RV9A,
39,Female,,African,,High School,,United States,Slightly Liberal,No,Engaging,Clear,,No,The highest ratio,Based on division,How simple and fun it was,Yes,,01JTNS7W3P8TCBQE14F22MEHNH,
44,Male,,Caucasian,,College,,United States,Moderately Liberal,No,Engaging,Clear,,No,"Higher successes always looked better, even if they weren't.","Trying to do the math on the fly of the percentage ratio of fails to successes, which was harder because the amounts were different.",Sounded interesting!,Yes,,01JTNS860459Q20M5J95GNKMWJ,
