,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,1.8725377296140495,0.2954250137761509,6.338453557737351,6.94602429199287e-10,1.2915621471747492,2.45351331205335
C(gender)[T.Male],0.038836530523892555,0.09276303271907761,0.4186638727250823,0.675711461592572,-0.14358897324078787,0.22126203428857297
C(gender)[T.Other],-0.31252949972484373,0.6481513304988571,-0.4821860035129478,0.6299668464775835,-1.587168000819093,0.9621090013694054
C(gender)[T.Prefer not to say],-0.7337898150953266,0.5137107646530207,-1.4284104316773574,0.15404075637320222,-1.7440407985336173,0.2764611683429641
C(race)[T.Asian],-0.677420458036037,0.2589146816112167,-2.616384879453239,0.009260926412723438,-1.1865957171938177,-0.16824519887825617
C(race)[T.Caucasian],-0.3143455796866201,0.14149795124251818,-2.221555696929155,0.026934719781724313,-0.5926119782772938,-0.03607918109594627
C(race)[T.Latin/x],-0.04541718776991507,0.23203269800641538,-0.1957361533961879,0.8449271191332091,-0.5017269976473684,0.41089262210753824
C(race)[T.Mixed-Race],-0.31643028583440586,0.25225608464157295,-1.2544010039798132,0.21051011683212317,-0.8125109115919202,0.17965033992310858
C(race)[T.Native American],0.24695147745656187,0.38397428743073114,0.6431458708055077,0.5205388913925557,-0.5081629335757281,1.0020658884888518
C(race)[T.Other],0.373050933036375,0.3846594505231384,0.9698213121477303,0.3327866873863413,-0.3834109029197192,1.129512768992469
C(education)[T.Graduate Professional School],0.013898395908649714,0.11918259853309492,0.11661430510587813,0.9072307276522174,-0.22048317765661452,0.24827996947391395
C(education)[T.High School],-0.02796255347386441,0.17094564673130996,-0.16357569793991636,0.8701569681188843,-0.3641400673740201,0.3082149604262913
C(education)[T.Other],-1.2116830939705427,0.72698883383915,-1.6667148621413816,0.09644084288394379,-2.641361494482018,0.21799530654093213
C(education)[T.Prefer not to say],-0.2796187169684028,0.5017252232326753,-0.5573144502618109,0.5776589459494637,-1.2662992287715062,0.7070617948347008
C(education)[T.Some College],-0.13716641477722777,0.11768142172346564,-1.1655740793100635,0.2445583650063693,-0.3685958108671629,0.09426298131270738
C(political)[T.Extremely Liberal],0.2608511410985972,0.19588736729638603,1.3316384037359499,0.18382156776293065,-0.12437614840151195,0.6460784305987064
C(political)[T.Moderately Conservative],0.30770697716818174,0.21958776949787678,1.4012937873170437,0.16198771581301702,-0.12412894169968319,0.7395428960360466
C(political)[T.Moderately Liberal],0.1406632761715072,0.20114013537700776,0.6993297280418673,0.48479758345834445,-0.2548939781343923,0.5362205304774067
C(political)[T.Prefer not to say],0.2755502930013383,0.34379232968178325,0.8015021546768939,0.42336969991769446,-0.4005432659766462,0.9516438519793229
C(political)[T.Slightly Conservative],0.10756490955004837,0.2233345079789151,0.48163139016655465,0.6303604650647187,-0.3316392532706402,0.5467690723707369
C(political)[T.Slightly Liberal],0.2368447335482263,0.20194200048598532,1.172835432838367,0.24163726336495728,-0.1602894490034276,0.6339789160998802
"C(hiringYearsCat, Treatment(reference='Missing'))[T.1–3 years]",0.06279743672582502,0.126141702387129,0.4978324815460286,0.6189060786568523,-0.18526973970418692,0.31086461315583697
"C(hiringYearsCat, Treatment(reference='Missing'))[T.4–6 years]",0.039798327987764906,0.15246498503352213,0.26103257727677304,0.7942166452279904,-0.26003557012814504,0.33963222610367483
"C(hiringYearsCat, Treatment(reference='Missing'))[T.7+ years]",-0.006076465380330372,0.1313221991219995,-0.04627142570682419,0.9631195707087575,-0.2643314795610983,0.2521785488004376
"C(hiringYearsCat, Treatment(reference='Missing'))[T.Less than 1 year]",-0.1730340730241427,0.26487133851426653,-0.6532759414240009,0.5139954017846704,-0.6939235474726526,0.34785540142436727
C(employmentStatusCat)[T.Employed part-time],0.1386911132147139,0.16734207745769464,0.8287880449540617,0.4077735030377343,-0.19039970978260118,0.46778193621202896
C(employmentStatusCat)[T.Other],0.29454476731973267,0.34859906602552443,0.8449384867203462,0.3987063642905121,-0.39100160139579554,0.9800911360352609
C(employmentStatusCat)[T.Self-employed],-0.1266162435183837,0.20550726847919426,-0.6161156462025693,0.538207558798423,-0.5307617946147345,0.2775293075779671
C(employmentStatusCat)[T.Student],0.010899161477347529,0.203648751923019,0.05351941209768624,0.9573477505918362,-0.38959147656714116,0.41138979952183624
C(employmentStatusCat)[T.Unemployed],0.17245529571004659,0.16463107286069065,1.0475257963967515,0.29555991618194416,-0.151304132174147,0.4962147235942402
C(employmentStatusCat)[T.nan],-2.2478156998086735e-15,3.675483324671949e-15,-0.6115700987459384,0.54120822931887,-9.475931010705226e-15,4.9802996110878796e-15
isSocial,-0.5823198933315681,0.08898473460913635,-6.544042592129948,2.06173171935691e-10,-0.7573150887516894,-0.40732469791144676
age,-0.0028544206153775387,0.004277070070597214,-0.6673775664795156,0.5049585525995529,-0.011265601658028689,0.0055567604272736115
hasFamiliarUniversity,-0.043135969155685634,0.09437180415914903,-0.4570853502274996,0.6478853933213169,-0.22872524335557845,0.1424533050442072
